date,location,gndr,age,employ,student,efl,income,os,model,phage,provider,chngpro,chngprowhy,phone+,bothcontract,whodwnld,game,bus/train,socialmed,calendar,messapp,email,music,bank,weather,browse,news,paidapp,learnapp,frequsetxt,frequsecl,frequsefb,frequseem,bought,fillform,pubprofile,bank,nobankacct,infosafe,mnysecr,fees,face2face,atm,,,,
7/31/14,Grand Army Market,1,0,2,2,0,2,1,LG,0,2,1,,1,,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,3,2,4,0,1,0,1,2,1,1,1,1,0,,,,
8/12/14,Atlantic/Utica (church),0,0,4,0,0,2,0,iphone,1,2,1,,1,,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,3,4,1,1,0,1,2,0,1,1,1,1,,,,
8/10/14,Dominican Pride Parade,1,0,4,0,0,2,0,iphone,1,3,1,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,3,2,4,1,1,0,1,2,1,1,1,1,0,,,,
8/9/14,Park Slope (Sunset park market),0,0,4,0,0,2,0,iphone,1,3,1,,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,2,3,1,4,0,0,0,1,2,1,1,1,1,0,,,,
8/4/14,Dwtn Bklyn (City Tech),0,0,4,0,0,2,0,iphone,,3,0,3,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,2,3,1,4,1,1,0,1,2,1,1,1,1,1,,,,
,,0,0,2,2,0,2,0,,,3,1,,1,,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,4,3,2,0,1,0,1,1,1,1,1,1,1,,,,
,,0,0,1,1,0,2,1,Boost,2,5,1,,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,2,0,1,4,2,,,,1,1,1,1,1,1,1,,,,
8/2/14,Dwtn Bklyn,1,0,4,0,0,2,0,iphone,1,6,1,,1,,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,3,2,0,1,1,0,1,2,1,1,1,0,1,,,,
8/2/14,Bedford Ave,1,0,2,2,0,2,0,iphone,2,8,0,0,1,,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,2,4,3,0,1,1,1,2,1,1,1,1,1,,,,
7/20-7/27,Harlem,0,0,1,0,0,3,0,iphone,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,3,1,0,0,0,2,1,1,1,1,1,1,,,,
,,0,0,4,0,0,3,0,iphone,0,1,1,,1,,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,0,3,0,1,0,1,0,1,1,1,1,1,,,,
7/20-7/27,Harlem,1,0,1,0,0,3,0,iphone,0,1,1,,1,,1,0,0,0,0,1,1,1,1,1,0,1,1,0,3,1,2,4,0,1,1,0,1,1,1,1,1,1,,,,
7/18/14,Houston street,1,0,1,2,0,3,0,iphone,0,1,1,,1,,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,2,3,4,0,0,0,1,2,1,1,1,1,1,,,,
,,1,0,1,0,0,3,0,iphone,0,1,1,,1,,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2,0,1,3,0,1,1,1,0,1,1,1,1,1,,,,
7/20-7/27,Harlem,0,0,2,1,0,3,0,iphone,0,1,1,,1,,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,3,1,4,0,1,0,2,1,1,1,1,1,1,,,,
7/20-7/27,Harlem,0,0,1,0,0,3,1,LG GS,2,1,1,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,4,3,0,1,1,2,1,1,1,1,1,1,,,,
,,0,0,1,0,0,3,1,LG GS,2,1,1,,1,,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,3,2,0,1,1,1,1,1,1,1,1,1,,,,
